,Timestamp,Gender,Age,Time zone,Native English,Number of oshis,Pomu Rainpuff,Elira Pendora,Finana Ryugu,Rosemi Lovelock,Petra Gurin,Selen Tatsuki,Nina Kosaka,Millie Parfait,Enna Alouette,Reimu Endou,Luca Kaneshiro,Shu Yamino,Ike Eveland,Mysta Rias,Vox Akuma,Sonny Brisko,Uki Violeta,Alban Knox,Fulgur Ovid,Maria Marionette,Kyo Kaneko,Aia Amare,Aster Arcadia,Scarle Yonaguni,Ren Zotto,Doppio Dropscythe,Meloco Kyoran,Hex Haywire,Kotoka Torahime,Ver Vermillion
46,2023-05-21 06:01:06,Unknown,19.0,2.0,True,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
47,2023-05-21 06:02:16,Unknown,,-5.0,True,4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
48,2023-05-21 06:07:02,Unknown,,2.0,True,6,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
49,2023-05-21 06:19:17,Unknown,,0.0,True,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
50,2023-05-21 06:20:46,Unknown,31.0,-4.0,True,10,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,True
51,2023-05-21 06:32:59,Unknown,24.0,-8.0,True,8,True,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
52,2023-05-21 06:37:02,Unknown,21.0,8.0,False,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
53,2023-05-21 06:41:08,Unknown,16.0,8.0,True,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
54,2023-05-21 06:41:48,Unknown,18.0,4.0,True,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
55,2023-05-21 06:43:52,Unknown,25.0,-5.0,True,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
56,2023-05-21 06:44:10,Unknown,30.0,7.0,True,6,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
57,2023-05-21 06:50:25,Unknown,,-11.0,True,7,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False
58,2023-05-21 07:00:35,Unknown,18.0,2.0,True,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
59,2023-05-21 07:01:50,Unknown,21.0,2.0,True,5,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
60,2023-05-21 07:04:46,Unknown,22.0,2.0,True,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
61,2023-05-21 07:06:11,Unknown,23.0,-4.0,True,6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False
62,2023-05-21 07:13:16,Unknown,27.0,8.0,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
63,2023-05-21 07:39:13,Unknown,40.0,-5.0,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,2023-05-21 07:41:01,Unknown,18.0,2.0,True,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
65,2023-05-21 07:41:23,Unknown,25.0,7.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
66,2023-05-21 07:44:25,Unknown,18.0,-3.0,True,7,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
67,2023-05-21 07:51:19,Unknown,23.0,3.0,True,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
